ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340513,HP428144,7/1/2008 22:45,009XX N LAWNDALE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1112,11,27,23,3,1151544,1906032,2008,2/4/2016 6:33,41.89803231,-87.7188395,"(41.898032309, -87.718839495)"
6340515,HP421493,6/28/2008 14:45,011XX N SPRINGFIELD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,1112,11,27,23,18,1150174,1907391,2008,2/4/2016 6:33,41.90178836,-87.72383596,"(41.901788359, -87.723835955)"
6340516,HP415256,6/25/2008 12:23,014XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,FALSE,FALSE,2432,24,40,1,14,1165635,1942615,2008,2/4/2016 6:33,41.99812917,-87.66603846,"(41.998129171, -87.666038464)"
6340517,HP418836,6/27/2008 0:00,082XX S BRANDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,424,4,7,46,14,1198914,1850936,2008,2/4/2016 6:33,41.74578418,-87.54670974,"(41.74578418, -87.546709739)"
6340519,HP427996,7/1/2008 21:59,002XX S LAVERGNE AVE,1610,GAMBLING,BOOKMAKING/HORSES,SIDEWALK,TRUE,FALSE,1533,15,28,25,19,1143289,1898790,2008,2/4/2016 6:33,41.87831765,-87.74934071,"(41.878317645, -87.74934071)"
6340521,HP428010,7/1/2008 21:28,076XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,421,4,7,43,14,1194187,1854870,2008,2/4/2016 6:33,41.75669667,-87.56390112,"(41.756696665, -87.563901121)"
6340525,HP421630,6/28/2008 16:39,040XX N LEAVITT ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,TRUE,FALSE,1912,19,47,5,18,1160967,1926972,2008,2/4/2016 6:33,41.95530265,-87.68364687,"(41.955302651, -87.683646865)"
6340526,HP427451,4/16/2008 19:00,017XX W HOWARD ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,FALSE,FALSE,2422,24,49,1,11,1163126,1950347,2008,2/4/2016 6:33,42.01939924,-87.67504949,"(42.019399237, -87.675049485)"
6340527,HP415968,6/25/2008 19:00,030XX W MADISON ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,TRUE,FALSE,1124,11,28,27,18,1156098,1899864,2008,2/4/2016 6:33,41.88101601,-87.7022796,"(41.88101601, -87.702279602)"
6340529,HP248708,3/27/2008 19:00,013XX W HENDERSON ST,820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1924,19,44,6,6,1166783,1922360,2008,2/4/2016 6:33,41.94252414,-87.6623989,"(41.942524138, -87.662398904)"
6340530,HP428212,7/2/2008 0:28,078XX S KINGSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,421,4,7,43,14,1194548,1853530,2008,2/4/2016 6:33,41.75301073,-87.56262214,"(41.753010734, -87.562622141)"
6340531,HP427774,7/1/2008 19:30,006XX S COLUMBUS DR,810,THEFT,OVER $500,PARK PROPERTY,FALSE,FALSE,124,1,2,32,6,1178368,1897542,2008,2/4/2016 6:33,41.87416585,-87.62057711,"(41.874165851, -87.620577113)"
6340532,HP428133,7/1/2008 23:37,057XX S SANGAMON ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,712,7,16,68,08A,1170956,1866767,2008,2/4/2016 6:33,41.78988208,-87.64869087,"(41.789882083, -87.648690872)"
6340535,HP425886,6/30/2008 20:57,066XX S HALSTED ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,723,7,16,68,24,1172109,1860955,2008,2/4/2016 6:33,41.77390802,-87.64463385,"(41.773908018, -87.644633853)"
6340537,HP427245,7/1/2008 15:37,063XX N CALIFORNIA AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2413,24,50,2,08A,1156515,1942002,2008,2/4/2016 6:33,41.9966372,-87.69960456,"(41.996637198, -87.699604564)"
6340544,HP428432,7/2/2008 4:37,075XX S COLFAX AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,TRUE,FALSE,421,4,7,43,26,1194834,1855484,2008,2/4/2016 6:33,41.75836562,-87.56150984,"(41.758365623, -87.561509844)"
6340545,HP428761,7/2/2008 3:00,002XX N LONG AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1523,15,28,25,7,1140305,1901096,2008,2/4/2016 6:33,41.8847008,-87.76024091,"(41.884700797, -87.760240908)"
6340546,HP426807,6/13/2008 17:00,010XX N CENTRAL PARK AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1112,11,27,23,6,1152185,1906757,2008,2/4/2016 6:33,41.90000916,-87.716466,"(41.900009157, -87.716465999)"
6340547,HP424543,6/29/2008 12:00,008XX S SPRINGFIELD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1133,11,24,26,7,1150516,1895989,2008,2/4/2016 6:33,41.87049338,-87.72287767,"(41.870493379, -87.72287767)"
6340548,HP428821,6/27/2008 23:30,017XX N STOCKTON DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,1814,18,43,7,6,1175220,1911837,2008,2/4/2016 6:33,41.91346324,-87.63170581,"(41.913463243, -87.631705806)"
